"index","Author","Favorites","Retweets","Replies","Tweet ID"
"SolBabyJesus","TMSN (33.3%) {313}《TYR》",1,"0",1,"1628720201884655616"
"SolBabyJesus","lazyleoni.eth 🔜",2,"0",1,"1628710954740359168"
"Imahumansoya","Brad",211,"321",59,"1589317869699235841"
"SolBabyJesus","NFT00rkun (33.3% 🥃,🦉)",2,"0",1,"1628692781882396672"
"nilamiu","!CryptoT00na 🧹 (33.3%) (SHFT)",234,"349",30,"1540721063272783872"
"SolBabyJesus","LtsPrty III 🪩 (33.3%)",1,"0",1,"1628670595234689024"
"SolBabyJesus","devjabi.sol",0,"0",1,"1628673628438142977"
"DeAliceofSOL","NFT Doctor",174,"10",13,"1600606741254836232"
"Bradtke27Extra","Pokeee.eth",4827,"1322",1480,"1614968118287433728"
"RobbyThompson_","Smawsh",23,"1",3,"1628789319606435841"
"ItsenoVip","The Whitelist Project ⬜",9,"4",0,"1628770759773458442"
"MagFomo","FOMO Media",0,"0",1,"1628840934392885248"
"MagFomo","FOMO Media",0,"0",1,"1628840937433763840"
"GarthWilderman","y00ts",7720,"3257",1875,"1565901754671042562"
"ginamd99","DrDaveDeFi 🔺⛓👨‍🌾🪨⛏",105,"304",13,"1592390636891951104"
"MrSnow_615","Zw3e",11,"3",2,"1628810384617648129"
"_Ganjapreneur","SBJ ⓻ 🟫🟥⬜🟨",0,"0",1,"1628839575027167234"
"IVRunning","Sith Sou (33.3%) 🟠",3,"0",1,"1628807685125685250"
"AlesyaAinsly","Jakey | tD 🔔",106,"69",74,"1628501572941389824"
"ytothek","BWeys 📈",123,"12",26,"1628550181267419138"
"ejjayn147","project0 | LFGUZZLE.SOL",148,"331",20,"1554343877498130432"
"Mines_DoDo","Ruten 007",4,"1",1,"1628840893590429696"
"JUTTAli54","Barkley 🐵 🚀",59,"312",6,"1563128519256772610"
"SolBabyJesus","Ganjapreneur",1,"0",1,"1628841227520180226"
"SOL_4LYF","DEGEN NEWS 🗞️",97,"14",9,"1628688841493172230"
"MattShell20","Virtuoso",2,"2",1,"1628842224132947970"
"MoonEkko33","Sm0key | tD 🔔",37,"1",7,"1628842998971928576"
"BossBrother","Koerbel",1,"1",0,"1628843001597362178"
"theMAMgeneral","M*A*M General (33.III)W~y🍊🍊ts",25,"7",3,"1627900493468160000"
"Eth00Jack","Sherlock.Andn◎thinelse00⓻",64,"9",8,"1628611648952086529"
"theMAMgeneral","SK_Bastos",5,"1",2,"1628842724865544195"
"Newman92670081","Newman",53206,"5844",827,"1628607818940006401"
"Eth00Jack","kthnxxbye (33.3%)",46,"7",1,"1628717019032915968"
"DeAliceofSOL","TunnelVision 🇬🇧",67,"12",1,"1600745459538354177"
"Claytz5","EZBREEZEY (RAFFLE MAXI)",116,"9",20,"1628566099414466566"
"_Repooc","Z-BO",2,"0",1,"1628844059694600193"
"JoyceanNoia","FredDurst.sol",99,"16",11,"1628533636898095105"
"Solympus_","cooper",2,"0",1,"1628844256646275075"
"waverchocs","Minh",52,"1",17,"1628816766276349953"
"NftPit","Roidz 𝐗+",130,"22",22,"1628843990828163072"
"SagardZz","Jonah",2,"0",3,"1628824021906096129"
"ayazfans","Shilla McShady",5,"0",3,"1628760652117598208"
"CryptoKeezi","Danny Marshall",2,"0",1,"1628835029286629376"
"W3Kasper","SellyKlater 🌊",234,"39",44,"1594308174403829762"
"SolBabyJesus","Denx.Sol 🟥⬛️",5,"1",1,"1628842983469600772"
"Davis46Rob","y00ts",5918,"1974",935,"1558393133775273984"
"CryptoKeezi","🟠 Xenobielz (33.3%) 🟠",4,"0",1,"1628827069659619329"
"BigDoosey","dejjen GM🤑",1,"0",1,"1628841943668084736"
"Smokey_titan","ChipsWithTh3Dip | JRNY #5357",1,"0",1,"1628843779934531585"
"slavagrbz","Haynz🎒",1,"0",1,"1628845159700996096"
"Erkman_22","sidakkk 🐉🍄🍄",0,"0",1,"1628844735887728640"
"jd6_sol","NEON S◎L",3,"0",1,"1628843174402867201"
"Bryan3_12","OzTheApe.eth🍌",52,"3",6,"1628642584959524865"
"rimo81863188","Lullaby",113,"114",103,"1628812827438751744"
"AnoonyLoony","Pax ⭕️",1,"0",1,"1628845292312223745"
"MetaHaynz","slashs {🐍}",1,"0",1,"1628845269549826048"
"Mike_egld","Joe.",1,"0",1,"1628839112944779267"
"kramrogNL","Drew.algo",26,"1",14,"1628543549024227328"
"attaboy1985","Thegodhawkclub",49,"4",4,"1628454945778171914"
"ShillaMcShady","ayaz 🔤 lll",1,"0",1,"1628844543155269632"
"DoctapantheR","Ruten 007",1,"0",1,"1628845631916613633"
"CryptoKeezi","b00nezzz(33.3%)🩻",0,"0",1,"1628845724874964992"
"Mike_egld","Bigsby West",1,"0",1,"1628840176788328449"
"Crystal_2644","Serpepi",42,"4",9,"1623838696008036352"
"RHaley57","Pokeee.eth",2882,"741",643,"1613961351780773890"
"DeMessYa10","SBJ ⓻ 🟫🟥⬜🟨",144,"4",23,"1628178993907105795"
"PaxVR","An00nyL00ny💫 has 1 y00t",1,"0",1,"1628845633602822144"
"SolBabyJesus","Bladz01",4,"0",0,"1628341678720311302"
"ChrisOKoneth1","DeGods III",1454,"555",172,"1506030914203099137"
"ryankumarnft","Shayan (33,3%)",61,"6",6,"1628618505049210881"
"_zionel","Headphone Homies",6,"1",1,"1628846526499024897"
"E_Rex_Shawn","B3NN13 | (33.3%)",3,"2",0,"1628844723531128832"
"_GeorgeEvans_","Neil Woods 🐝",4,"1",0,"1628828714464157697"
"AnoonyLoony","DeSimone",3,"0",0,"1628784175565135874"
"headphonehomies","ZIⓄNΞL",1,"0",1,"1628846969383751680"
"DoctapantheR","sickmick11 {👻,👻}",197,"17",41,"1628410285294755847"
"SolBabyJesus","DoctapantheR.eth 🐯",5,"0",2,"1628847032583462913"
"risz0r","Degentraland",1,"0",1,"1628846394969673729"
"_KevFou_","TheAristocrats",32,"16",3,"1628795292358172673"
"Unluckeh23","andrew",1,"183",1,"1566985372554461185"
"DannyCrypto85","𝐈𝐕𝐀𝐑 𝐓𝐇𝐄 𝐒◎𝐋_𝐋𝐄𝐒𝐒 (33.3%)",7,"1",1,"1628816125919170566"
"DeAliceofSOL","y00ts",558,"76",52,"1605989643547197447"
"genuinearticles","BenEthMiner.eth",1,"0",1,"1628699517607460867"
"Wizrady","DeBozos",55,"17",29,"1628794496371548161"
"thesolisrisingg","tugondee 🔥💃",1,"0",1,"1628846520597454849"
"SgrBiscotti","Ryan Kumar 🌴",1,"0",1,"1628821650111094790"
"biged_S","Wizard",2,"0",1,"1628848514813014016"
"Wizrady","FrancisClyde ⌐◨-◨ 👑💸",5,"0",1,"1628794690890874881"
"BongCorwin","y00ts",4956,"1850",1414,"1563648954041921537"
"ryankumarnft","Mr. Biscotti",1,"0",1,"1628848546689560577"
"DeAliceofSOL","FITZ💥| tD 🔔",74,"11",13,"1606457862506496000"
"hkine_sol","jpeggler.abc",11,"1",3,"1628819945315237888"
"KrystalGough","Books",3,"175",1,"1597712887736590336"
"Hirthe25Hung","y00tlist",2621,"648",775,"1563992140883148800"
"seed0k","Andrew Hayward",23,"5",2,"1628759880344514560"
"actually_fucked","Waylon",1,"0",1,"1628848996293959680"
"E_Rex_Shawn","Alty - GodfatherNFT.eth",108,"23",4,"1628228375356805121"
"DeAliceofSOL","Anglio",196,"12",53,"1607405288105164800"
"ZarkMuckherbarn","Kara",0,"0",1,"1628741942258421761"
"Mihihiro01","Kawauso",1,"1",1,"1628846842447560705"
"CB_blue_ball","Checks - Sol Edition",58,"59",42,"1628788181817516034"
"ZarkMuckherbarn","Genetic Alpha",2,"0",1,"1628849898463416321"
"rashsolana","KEEZi",2,"1",1,"1628845957549785093"
